id,sentence,masked_sentence,AI_phrase,mask,AI_entity,component,expectations,predictions
7_acl_8_10945_3,"Although the best bidirectional model performs similarly to humans, they display different strengths: humans outperform neural networks in conversational contexts, while RoBERTa excels at written genres.","Although <mask> performs similarly to humans, they display different strengths: humans outperform neural networks in conversational contexts, while RoBERTa excels at written genres.",the best bidirectional model,bidirectional model,model,perform similarly to humans,2,-2.9152987550189344
7_acl_5_26147_5,Adding a power-law recency bias to these attention heads yielded a model that performs much more similarly to humans.,Adding a power-law recency bias to these attention heads yielded <mask> that performs much more similarly to humans.,a model,model,model,perform similarly to humans,2,-3.6920694917824814
7_acl_24_22807_4,Our results show that GPT-3 scores similarly to human samples in terms of personality and - when provided with a model response memory - in terms of the values it holds.,Our results show that <mask> scores similarly to human samples in terms of personality and - when provided with a model response memory - in terms of the values it holds.,GPT-3,GPT-3,GPT-3,score similarly to human samples in terms of personality,2,-4.093221077031661
7_acl_572_45853_6,"We find that some LLMs are sensitive to factors that affect the inference process similarly to humans, yet there remains variance in human behavior not fully captured by LLMs.","We find that some <mask> are sensitive to factors that affect the inference process similarly to humans, yet there remains variance in human behavior not fully captured by <mask>.",LLMs,LLMs,LLM,inference process similarly to humans,2,-4.1153312091727905
7_arx_2303.09038_1808835_0,The large language model called ChatGPT has drawn extensively attention because of its human-like expression and reasoning abilities.,<mask> called ChatGPT has drawn extensively attention because of its human-like expression and reasoning abilities.,The large language model called ChatGPT,large language model,model,human-like expression and reasoning abilitiies,2,-3.748239605090952
7_acl_8_4584_5,It gives any autonomous system the ability to process visual information in a human-like way and generates more insights which are hardly possible with a conventional algorithm.,It gives <mask> the ability to process visual information in a human-like way and generates more insights which are hardly possible with a conventional algorithm.,any autonomous system,system,system,process visual information in a human-like way,2,-3.374284191748115
7_acl_38_14688_1,"We conduct a human evaluation pilot study that indicates the model is often able to respond to conversations in both a human-like and informative manner, on a diverse set of topics.","We conduct a human evaluation pilot study that indicates <mask> is often able to respond to conversations in both a human-like and informative manner, on a diverse set of topics.",the model,model,model,respond to conversations in a human-like manner,2,0.4212715980812245
7_acl_188_24338_1,"Solving such a linguistic construction is not a trivial issue in natural language processing since it involves the retrieval of non-overtly expressed verbal material, which might in turn require the model to integrate human-like syntactic and semantic knowledge.","Solving such a linguistic construction is not a trivial issue in natural language processing since it involves the retrieval of non-overtly expressed verbal material, which might in turn require <mask> to integrate human-like syntactic and semantic knowledge.",the model,model,model,human-like syntactic and semantic knowledge,2,0.1946163079321756
7_acl_245_24395_3,"This inspires us to develop a cooperative reasoning-induced PLM for solving MWPs, called Cooperative Reasoning (CoRe), resulting in a human-like reasoning architecture with system 1 as the generator and system 2 as the verifier.","This inspires us to develop a cooperative reasoning-induced PLM for solving MWPs, called Cooperative Reasoning (CoRe), resulting in <mask> with system 1 as the generator and system 2 as the verifier.",a human-like reasoning architecture,architecture,architecture,human-like reasoning,2,-5.271611181439203
7_acl_115_26836_3,"With LLMs increasingly gaining human-like fluency in text generation, gaining a nuanced understanding of the biases these systems can generate is imperative.","With <mask> increasingly gaining human-like fluency in text generation, gaining a nuanced understanding of the biases these systems can generate is imperative.",LLMs,LLMs,LLM,human-like fluency,2,-6.2615756244681045
7_acl_7_25850_0,The recent release of ChatGPT has garnered widespread recognition for its exceptional ability to generate human-like conversations.,The recent release of <mask> has garnered widespread recognition for its exceptional ability to generate human-like conversations.,ChatGPT,ChatGPT,ChatGPT,human-like conversations,2,-3.086888910498093
7_arx_2303.17276_1817073_8,"This suggests that larger and more advanced LLMs may develop a tendency toward more human-like mistakes, as relevant thought patterns are inherent in human-produced training data.","This suggests that <mask> may develop a tendency toward more human-like mistakes, as relevant thought patterns are inherent in human-produced training data.",larger and more advanced LLMs,LLMs,LLM,human-like mistakes,2,-2.2825784592699634
