id,sentence,masked_sentence,AI_phrase,mask,component,expectation,model_score,prediction
7_acl_8_10945_3,"Although the best bidirectional model performs similarly to humans, they display different strengths: humans outperform neural networks in conversational contexts, while RoBERTa excels at written genres.","Although [MASK] performs similarly to humans, they display different strengths: humans outperform neural networks in conversational contexts, while RoBERTa excels at written genres.",the best bidirectional model,bidirectional model,perform similarly to humans,2,0.08762702153564364,0
7_acl_5_26147_5,Adding a power-law recency bias to these attention heads yielded a model that performs much more similarly to humans.,Adding a power-law recency bias to these attention heads yielded [MASK] that performs much more similarly to humans.,a model,model,perform similarly to humans,2,0.0,0
7_acl_24_22807_4,Our results show that GPT-3 scores similarly to human samples in terms of personality and - when provided with a model response memory - in terms of the values it holds.,Our results show that [MASK] scores similarly to human samples in terms of personality and - when provided with a model response memory - in terms of the values it holds.,GPT-3,GPT-3,score similarly to human samples in terms of personality,2,0.156099560026969,0
7_acl_572_45853_6,"We find that some LLMs are sensitive to factors that affect the inference process similarly to humans, yet there remains variance in human behavior not fully captured by LLMs.","We find that some [MASK] are sensitive to factors that affect the inference process similarly to humans, yet there remains variance in human behavior not fully captured by [MASK] .",LLMs,LLMs,inference process similarly to humans,2,0.5076030918771126,1
7_arx_2303.09038_1808835_0,The large language model called ChatGPT has drawn extensively attention because of its human-like expression and reasoning abilities.,[MASK] called ChatGPT has drawn extensively attention because of its human-like expression and reasoning abilities.,The large language model called ChatGPT,large language model,human-like expression and reasoning abilitiies,2,0.0,0
7_acl_8_4584_5,It gives any autonomous system the ability to process visual information in a human-like way and generates more insights which are hardly possible with a conventional algorithm.,It gives [MASK] the ability to process visual information in a human-like way and generates more insights which are hardly possible with a conventional algorithm.,any autonomous system,system,process visual information in a human-like way,2,0.6198154897064042,1
7_acl_38_14688_1,"We conduct a human evaluation pilot study that indicates the model is often able to respond to conversations in both a human-like and informative manner, on a diverse set of topics.","We conduct a human evaluation pilot study that indicates [MASK] is often able to respond to conversations in both a human-like and informative manner, on a diverse set of topics.",the model,model,respond to conversations in a human-like manner,2,0.19442387754083085,0
7_acl_188_24338_1,"Solving such a linguistic construction is not a trivial issue in natural language processing since it involves the retrieval of non-overtly expressed verbal material, which might in turn require the model to integrate human-like syntactic and semantic knowledge.","Solving such a linguistic construction is not a trivial issue in natural language processing since it involves the retrieval of non-overtly expressed verbal material, which might in turn require [MASK] to integrate human-like syntactic and semantic knowledge.",the model,model,human-like syntactic and semantic knowledge,2,0.20722484392395918,1
7_acl_245_24395_3,"This inspires us to develop a cooperative reasoning-induced PLM for solving MWPs, called Cooperative Reasoning (CoRe), resulting in a human-like reasoning architecture with system 1 as the generator and system 2 as the verifier.","This inspires us to develop a cooperative reasoning-induced PLM for solving MWPs, called Cooperative Reasoning (CoRe), resulting in [MASK] with system 1 as the generator and system 2 as the verifier.",a human-like reasoning architecture,architecture,human-like reasoning,2,0.0,0
7_acl_115_26836_3,"With LLMs increasingly gaining human-like fluency in text generation, gaining a nuanced understanding of the biases these systems can generate is imperative.","With [MASK] increasingly gaining human-like fluency in text generation, gaining a nuanced understanding of the biases these systems can generate is imperative.",LLMs,LLMs,human-like fluency,2,0.3876962757116859,1
